label,text
spam,Congratulations you have won a free gift card click here now to claim your reward
spam,Limited time offer buy now and get exclusive bonus access today
spam,Dear customer your account has been selected for a cash prize verify immediately
spam,Win money fast by joining our investment plan today
spam,Urgent your banking profile needs confirmation click the secure link now
spam,You are a lucky winner claim your vacation package before it expires
spam,Get rich quickly with this secret method sign up today
spam,Exclusive offer for selected users activate your discount now
spam,Your payment is pending confirm your details to receive funds
spam,Free entry into our prize draw respond now to secure your chance
spam,Final reminder claim your reward before midnight
spam,This amazing loan offer is approved instantly apply now
spam,Act now to receive your bonus gift and premium membership
spam,Special promotion just for you open the link and collect your benefit
spam,We detected suspicious activity verify your password immediately
spam,Click now to unlock your free coupon and shopping credits
not spam,Hi Sarah are we still meeting tomorrow at 2 pm in the office
not spam,Please find the weekly project report attached for your review
not spam,Can you send me the updated presentation before lunch
not spam,Thank you for your order your package will arrive on Friday
not spam,Let me know if you are available for a quick call this afternoon
not spam,The class schedule has been updated on the student portal
not spam,Reminder our team meeting starts at 10 am in conference room B
not spam,I finished the draft and shared it with you for comments
not spam,Happy birthday hope you have a wonderful day with your family
not spam,Your appointment is confirmed for Monday at 9 am
not spam,Could you please review the budget spreadsheet and send feedback
not spam,The restaurant booking is confirmed for tonight at 7 pm
not spam,I will be working from home tomorrow because of the weather
not spam,Thanks for helping with the event everything went smoothly
not spam,The homework deadline has been extended until next Wednesday
not spam,Hello team the client approved the proposal and we can start next week
